Company Name,Founded,Headquarters,Key People,Products,Revenue,Number of Employees,Website,,,
Biogen Inc.,Start date and age|1978,", ",ubl|Caroline Dorsa (chairman)|Chris Viehbacher (Chief executive officer|CEO),hlist|Interferon beta-1a#Avonex|Avonex| 4-Aminopyridine|Fampyra| Interferon beta-1a#Plegridy|Plegridy| Dimethyl fumarate|Tecfidera| Natalizumab|Tysabri| Nusinersen|Spinraza,decrease US$|9.836 billion|link=yes (2023),"7,570 (2023)",url|https://www.biogen.com/|biogen.com,,,
Talanx AG,,", ",,"Insurance, Reinsurance, investment management|asset management",€43.6&nbsp,billion <small>(2020)</small>[https://www.forbes.com/companies/talanx/#68c35a3332f5],"23,324 <small>(2020)</small>",,,
Carrefour Group,,", ","ubl|Alexandre Bompard , <small>(Chairman & CEO)</small>|Matthieu Malige <small>(Chief Financial Officer|CFO)</small><ref>cite web|url=https://www.carrefour.com/en/group/governance |title=Composition and Missions of The Carrefour Group Executive Committee |publisher=Carrefour S.A. |access-date=3 November 2023</ref>",,"Collapsible list |titlestyle = font-weight: normal;
|title=increase Euro|€81.25&nbsp;billion (2021)<ref name=""AR21"">cite web|url=https://www.carrefour.com/en/finance/financial-publications|title=Annual Report 2021|publisher=Carrefour S.A.|access-date=14 November 2020|archive-date=16 November 2020|archive-url=https://web.archive.org/web/20201116014551/https://www.carrefour.com/en/finance/financial-publications|url-status=live</ref><ref name=""URD21"">cite web |url=https://www.carrefour.com/sites/default/files/2022-06/Carrefour-URD2021-EN_01_1.pdf |title=2021 Registration Document |date=February 25, 2022 |access-date=September 10, 2022 | orig-date= |publisher= |website=Carrefour |pages=9, 38 |language=en |format= |url-access= |via=</ref>
|increase 35.28 billion (France)
|increase 21.28 billion (Europe)
|increase 13.89 billion (Latam)
|increase 2.49 billion (Taiwan)","Collapsible list |titlestyle = font-weight: normal;
|title=decrease 319,565 small|(2021)<ref name=""URD21""/>|decrease 191,707 (Europe)|increase 115,310 (Latin America|Latam)|decrease 12,548 (Asia)",,,,
Standard Chartered PLC,,", ",ubl|José Viñals (Chairman|group chairman)|Bill Winters (Chief executive officer|group chief executive),ubl | Asset management | Banking | Commodities | Credit cards | Equities trading | Insurance | Investment management | Mortgage loans | Mutual funds | Exchange-traded funds | Index funds | Private equity | Risk management | Wealth management,"increaseUnited States dollar|US$ 18.019&nbsp;billion (2023)<ref name=""results"">Cite web |title=Annual Results 2023|url=https://av.sc.com/corp-en/nr/content/docs/standard-chartered-plc-full-year-2023-press-release.pdf|access-date=16 February 2023</ref>","83,000 (2024)<ref>cite web|url=https://www.sc.com/en/about/|title=About us|publisher=Standard Chartered|access-date=12 February 2024</ref>",,,,
Meituan,,", ","Wang Xing, Fu Lihui, Mu Rongjun, Liang Foxing, Chen Mei Wah",,"increase CNY|  179.128&nbsp;billion|link=yes (US$27.77&nbsp;billion, 2021)<ref name=""http://meituan.todayir.com"">cite web|url=http://media-meituan.todayir.com/20220325165602561510172324_en.pdf|title=ANNOUNCEMENT OF THE RESULTS FOR THE YEAR ENDED DECEMBER 31, 2021|access-date=March 25, 2022</ref>","46,662 (until April 30, 2018)",,,,
Walgreens,"start date and age|1901, in Chicago, Illinois, U.S.","Deerfield, Illinois, United States",Unbulleted list|Stefano Pessina (executive chairman)|Tim Wentworth (CEO)<ref>cite web | url=https://news.walgreens.com/press-center/walgreens-boots-alliance-announces-leadership-transition.htm | title=Walgreens Boots Alliance Announces Leadership Transition | date=30 November 2023 </ref>|Tracey D. Brown|Tracey Brown (President (corporate title)|president),hlist|Drug store|pharmacy|photo center|beauty products|groceries|food|drinks|electronics|toys|pet supplies|baby products|hygiene products|health products|school and office supplies,,,,,,
Fosun International Limited,,", ",ubl|Co-Chairman: Guo Guangchang|Co-Chairman: Wang Qunbin|Co-CEO: Chen Qiyu|Co-CEO: Xu Xiaoliang,,"IncreaseUS$|25.4&nbsp;billion|link=yes<ref name=""Yahoo!Finance 2021 numbers"">cite news |title= Fosun International Announces 2021 Annual Results: Total Revenue Increased by 18% to RMB161.29 Billion, Striving to Pursue Steady and Sustainable Development |url= https://finance.yahoo.com/news/fosun-international-announces-2021-annual-145700631.html |work=Yahoo! Finance |date=23 March 2022</ref><ref name=""BondEvalue:Fosun Reports"">cite news |last1=Sundarkumar |first1=Amruth |title=Fosun Reports 26% Profit Jump in 2021 |url=https://bondevalue.com/news/fosun-reports-26-profit-jump-in-2021/ |publisher=BondEvalue |date=25 March 2022</ref>","71,000<ref name=""Fosun Annual Report 2019"">Cite web |url= https://ir.fosun.com/static-files/93b4a5da-8531-4ee3-ae2a-32a6cbe48fe1 |date= June 2020 |access-date= June 20, 2020 |title= Archived copy |archive-date= 27 June 2020 |archive-url= https://web.archive.org/web/20200627081150/https://ir.fosun.com/static-files/93b4a5da-8531-4ee3-ae2a-32a6cbe48fe1 |url-status= dead </ref>",,,,
Eni S.p.A.,,", ",unbulleted list|Giuseppe Zafarana (Chairman) |Claudio Descalzi (Chief executive officer|CEO),"Petroleum, natural gas, petroleum products",decrease €93.72 billion (2023)<ref name=AnnualReport>cite web|url=https://www.eni.com/content/dam/enicom/documents/eng/reports/2023/Annual-Report-2023.pdf |title=Eni Annual Report 2023|date=5 April 2024 |publisher=Eni.com </ref>,"33,142 (2023)<ref name=AnnualReport/>",,,,
Kubota Corporation,,", ",Yuichi Kitao<ref>cite web | url=https://www.kubota.com/corporate/board/index.html | title=Directors and Senior Management &#124, Corporate Information &#124, Kubota Global Site </ref> (CEO and President (corporate title)|president),unbulleted list|Tractors|Combine harvesters|Rice transplanters|Lawn mower|Turf care equipment|Heavy equipment (construction)|Construction equipment|Engines|Vending machines|Gearboxes and Axles|Water treatment systems,"profit US dollar|$ 14.7 billion (Fiscal year|FY 2014)
                   (Japanese yen|¥ 1,508 billion) (FY 2014)","38,291 (consolidated as of March 31, 2017)",,
CK Asset Holdings Limited,"bulleted list
 |1= As '''Cheung Kong Holdings''' in Start date and years ago|df=yes|1950
 |2= As '''CK Asset Holdings''' on Start date and years ago|df=yes|2015|06|03",", ",Victor Li Tzar-kuoi (Chairman and Managing Director),"real estate development and investment, aircraft leasing",,,,,,
Bank of Nanjing Co. Ltd.,start date and age|1996|2|6|p=yes,", ",Xie Ning (Chairman)<br>Zhu Gang (President),,,"16,342 (2023)",,,,
"NetEase, Inc.",,", ",Ding Lei (Chief executive officer|CEO),"Online service provider|Online services, Video game|Video games","increase CNY | link=yes 59.24&nbsp;billion small|(2019)<ref name=""FY2019"">Cite web | url=http://ir.netease.com/static-files/3e42123b-ccaf-4ed2-8bd1-784261a20ca9 | title=NetEase Reports Fourth Quarter and Fiscal Year 2019 Unaudited Financial Results (PDF) | date=26 February 2020 | access-date=4 May 2020 | archive-date=2 January 2022 | archive-url=https://web.archive.org/web/20220102135000/https://ir.netease.com/static-files/3e42123b-ccaf-4ed2-8bd1-784261a20ca9 | url-status=live </ref>","18,129 (December 2017)<ref>cite web|url=http://ir.netease.com/phoenix.zhtml?c=122303&p=irol-faq|title=Investor FAQs|access-date=3 August 2018|archive-url=https://web.archive.org/web/20190322142601/http://ir.netease.com/phoenix.zhtml?c=122303&p=irol-faq|archive-date=22 March 2019|url-status=dead</ref>",,,,
"SK Telecom Co., Ltd. ,  에스케이텔레콤주식회사",,", ",interlanguage link|Young Sang Ryu|ko|유영상 small|(Chief executive officer|CEO)<ref>cite web |url=https://www.sktelecom.com/en/view/esg/board-of-directors.do |website=SK Telecom |access-date=4 November 2024|title=Board of Directors</ref>,"Wireless#Mobile telephones|Wireless telecom, Mobile Web|Cellular internet, Internet, Mobile platform, Internet of things","profit KRW|link=yes17.609 trillion (2023, consolidated)<ref>cite news|title=SK Telecom Co., Ltd. (SKM) Income Statement|work=Yahoo! Finance|url=https://finance.yahoo.com/q/is?s=SKM+Income+Statement&annual|access-date=4 November 2024</ref>",40543,,,,
eBay Inc.,start date and age|1995|9|3,", ",unbulleted list|Paul Pressler (chairman)|Jamie Iannone (President (corporate title)|presidentwbr&nbsp,and Chief executive officer|CEO),,increase US$|10.11 billion|link=yes (2023),"circa|12,300 (2023)",,,
Freeport-McMoRan Inc.,,"Phoenix, Arizona, U.S.",ubl|Richard Adkerson|(Chairperson|Chairman) | Kathleen L. Quirk|(President (corporate title)|President & CEO),ubl|Copper|Gold|Molybdenum,increase US$|22.9 billion|link=yes (2023),"circa|27,200 (2023)",,,,
Power Construction<br>Corporation of China,2009,"Beijing, China",Yan Zhiyong,,US$ 97.0 billion (2023)<ref name=Financials>cite web |title=PowerChina|url=https://fortune.com/company/powerchina/ |website=Fortune Global 500 |publisher=Fortune |access-date=2024-08-24</ref>,"184,567 (2023)<ref name=Financials />",url|https://en.powerchina.cn|en.powerchina.cn,,,
LG Chem Ltd.,,", ",,ubl|Raw materials|Chemicals|IT and electronics materials|Energy solutions,"profit South Korean won|KRW 51.865 trillion 
 (2022)<ref name=stock>cite web | url=http://www.insideview.com/directory/lg-chem-ltd | title=LG Chem Ltd | publisher=InsideView | access-date=January 10, 2015 | url-status=dead | archive-url=https://archive.today/20130911174044/http://www.insideview.com/directory/lg-chem-ltd | archive-date=September 11, 2013 </ref>","20,000+ (2022)",,,,
Bouygues S.A.,,", ",ubl|Martin Bouygues (chairman) ubl|Olivier Roussat (CEO),,increase €|37.59 billion|link=yes (2021)<ref name=ar>cite web|url=https://www.bouygues.com/wp-content/uploads/2022/02/press-release.pdf |title=Annual Report 2021|publisher=Bouygues|access-date=15 March 2022</ref>,"124,600 (Dec 2021)<ref>cite web|url=https://www.bouygues.com/en/the-group-at-a-glance/|title=Bouygues in brief|publisher=Bouygues|access-date=15 March 2022</ref>",,,,
Capgemini SE,,", ","Aiman Ezzat (Chief executive officer|CEO) , Paul Hermelin, (chairman of the board)",,"increase Euro|€22.5 billion (2023)<ref name=6-K>cite web|url=https://www.capgemini.com/news/press-releases/capgemini-delivers-another-record-performance-in-2023/|title=Cap Gemini SA, CAP:PAR financials 2023 |date=14 February 2024 |publisher=Capgemini</ref>",formatnum:338900 (2024)<ref>cite web | url=https://investors.capgemini.com/en/publication/q3-2024-revenues/ | title=Capgemini Q3 2024 revenues | date=30 October 2024 </ref>,,,,
Edison International,Start date and age|1886,"Rosemead, California, U.S.",Pedro J. Pizarro (chairman and CEO),"electricity, energy solutions",nowrap|increase US$|14.905 billion|link=yes (2021),"14,375 (2023)",URL|edison.com,,,
Magna International Inc.,Start date and age|1957,"Aurora, Ontario, Canada","plainlist|
* Swamy Kotagiri, CEO
* Tommy J. Skudutis, Executive VP & COO
* Vincent J. Galifi, Executive VP & CF",Automotive,"increaseUS$|link=yes42.797 billion <small>(2023)</small><ref name=""Magna International Inc. MGA"">Cite web|title=Magna International Inc. (MGA)|website=Magna International Report 2023|url=https://www.magna.com/docs/default-source/2024-news---press-releases/magna-2023-q4-pr.pdf?sfvrsn=86563d2c_1</ref>","179,000 <small>(2023)</small><ref name=""Magna International Inc. MGA""/>",URL|https://www.magna.com/,,,
"Dollar Tree Stores Canada, Inc.","start date and age|1953<br>April 17, 1986, Sumter, South Carolina, U.S.","Chesapeake, Virginia, U.S.",Neil Curran (President (corporate title)|president),"Food and snacks, health and beauty care products, housewares, books and toys",,,URL|dollartree.com,,,
Telenor ASA,,", ","Sigve Brekke <small>(President and chief executive office|CEO)</small>, Jens Petter Olsen <small>(Chair of the Board)</small>","Landline|Fixed line and mobile phone|mobile telephony, internet, digital television, Information technology|IT services, IPTV Telegraphy","decrease NOK|80.5 billion|link=yes (2023)<ref name=""AR2021"">cite web |url=https://www.telenor.com/binaries/investors/reports-and-information/annual/annual-report-2021/Telenor%20Annual%20Report%202021.pdf |title=Annual Report 2021 |publisher=Telenor |access-date=14 May 2022 |pages=3, 74, 76</ref>","11,000 (2023)<ref name=""AR2021"" />",,,,
China Zheshang Bank,Start date and years ago|2004|07|26|df=y,", ",Shen Renkang <br/> Chairman <br/> Liu Xiaochun <br/> President and Director,Finance and insurance <br/>Consumer Banking <br/>Corporate Banking <br/>Investment Banking <br/> Mortgages <br/>Credit Cards,,,,,,
Entergy Corporation,"Start date and age|1913<ref name=""Entergy Turns 100"">cite web|url=http://www.entergy.com/about_entergy/anniversary100.aspx|title=Entergy - 100 Year Anniversary|website=www.entergy.com|access-date=15 April 2018|archive-url=https://web.archive.org/web/20181125115606/http://www.entergy.com/about_entergy/anniversary100.aspx|archive-date=25 November 2018|url-status=dead</ref>",", ","Andrew “Drew” Marsh, (Chairman and CEO)",,down US$|10.113 billion|link=yes (Fiscal Year Ended 2020)<ref name=AnnualR2020>Cite web|url=https://entergycorporation.gcs-web.com/static-files/2d307ed1-54d2-45fc-b1a3-2efc9f2e00bd|title=Entergy 2020 Annual Report|website=Entergy|language=en-US|access-date=2021-04-30|archive-date=2021-06-02|archive-url=https://web.archive.org/web/20210602213218/https://entergycorporation.gcs-web.com/static-files/2d307ed1-54d2-45fc-b1a3-2efc9f2e00bd|url-status=dead</ref>,"13,504<ref name=""Entergy"">Cite web|url=http://fortune.com/fortune500/entergy/|title=Entergy|website=Fortune|language=en-US|access-date=2018-11-25|archive-date=2018-11-25|archive-url=https://web.archive.org/web/20181125170906/http://fortune.com/fortune500/entergy/|url-status=dead</ref>",url|https://www.entergy.com|entergy.com,,,
Lam Research Corporation,Start date and age|1980,", ","Tim Archer (Chief executive officer|CEO and President (corporate title)|president), Abhi Talwalkar (chairman)",Semiconductor manufacturing products,decrease US$|14.9&nbsp,billion|link=yes (2024),"17,450 (2024)",url|https://www.lamresearch.com/|lamresearch.com,,
Infosys Limited,,"Bangalore, Karnataka, India",Nandan Nilekani <br/>small|(Chairman)<br>Salil Parekh<br/>small|(Managing Director|MD & Chief Executive Officer|CEO)<ref>cite news|title=Infosys appoints Salil S. Parekh as CEO and Managing Director|newspaper=The Economic Times |url=https://economictimes.indiatimes.com/news/company/corporate-trends/infosys-appoints-salil-s-parekh-as-ceo-and-managing-director/articleshow/61892804.cms|access-date=2 December 2017|archive-url=https://web.archive.org/web/20171202161427/https://economictimes.indiatimes.com/news/company/corporate-trends/infosys-appoints-salil-s-parekh-as-ceo-and-managing-director/articleshow/61892804.cms|archive-date=2 December 2017|url-status=live</ref>,hlist|Finacle|Panaya,"Increase INRConvert|158381|c (2024)<ref name=""fy24""/>","317,240 (March 2024)<ref>cite news |title=In a first, IT services major Infosys sees a drop in net headcount |url=https://www.business-standard.com/companies/news/infosys-fy24-headcount-declines-by-25-994-for-the-first-time-ever-124041801026_1.html |access-date=20 April 2024 |work=Business Standard</ref>",,,,
The Estée Lauder Companies Inc.,"Start date and age|1946 in nowrap|New York City, U.S.","New York City, U.S.",ubl|William P. Lauder|(Executive Chairman)|Fabrizio Freda |(President and CEO),hlist|Skin care|makeup|perfume|hair care,decrease US$|15.6 billion|link=yes (2024),"62,000 (2024)",URL|elcompanies.com,,,
"Corteva, Inc.",Start date and age|2019,"Indianapolis, Indiana, U.S.<ref name=""Gajaria-retire"">cite web | title=Corteva Announces EVP Rajan Gajaria's Retirement, Designates Indianapolis Global Headquarters | website=Corteva Agriscience | date=2022-02-08 | url=http://www.corteva.com/resources/media-center/corteva-announces-evp-rajan-gajarias-retirement-designates-indianapolis-global-headquarters.html | access-date=2022-02-09</ref>","unbulleted list|Chuck Magro (Chief executive officer|CEO)<ref name=""Chuck Magro"">cite web | title=Chuck Magro | website=Corteva Agriscience™ | date=2021-04-09 | url=http://www.corteva.com/who-we-are/our-leadership/chuck-magro.html | access-date=2022-03-18</ref>",,nowrap|Decrease US$|17.226 billion|link=yes,"approx.|22,500",URL|corteva.com,,,
Safran S.A.,,", ",interlanguage link|Olivier Andriès|fr (Chief executive officer|CEO)<br/>Ross McInnes (chairman)<ref>cite web|url=https://www.lefigaro.fr/conjoncture/olivier-andries-prend-les-commandes-de-safran-20210103|title=Olivier Andriès prend les commandes de Safran|date=3 January 2021 |access-date=3 January 2021</ref>,"Aircraft engines, equipment, and interiors, defence electronics, avionics, navigation system, communications systems, satellites",increase Euro|€23.20 billion (2023)<ref>cite web|url=https://www.safran-group.com/pressroom/safran-publishes-its-full-year-2023-results-2024-02-15|title=Safran publishes its full year 2023 results |access-date=15 February 2024|publisher=Safran</ref>,"92,000 (2023)",,,,
